epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,3537.39,0.8263,1.80903,1.3237,0.66593,0.59458,0.64855,0.51122,0.79797,1.29513,1.27316,0.0192337,0.00641125,0.0192337,0.00641125,0.0192337,0.00641125,0.0192337,0.00641125
31,3660.9,0.8008,1.78822,1.30448,0.66,0.61455,0.65479,0.51648,0.80527,1.27542,1.28403,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
32,3781.99,0.81333,1.77784,1.30872,0.67728,0.60197,0.66368,0.52105,0.79426,1.24723,1.26365,0.0184913,0.00616375,0.0184913,0.00616375,0.0184913,0.00616375,0.0184913,0.00616375
33,3906.52,0.8131,1.73873,1.30559,0.67445,0.621,0.66581,0.53313,0.7856,1.22785,1.26891,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
34,4030.98,0.79674,1.69748,1.29827,0.67621,0.62256,0.67227,0.53706,0.7692,1.21661,1.24112,0.0177488,0.00591625,0.0177488,0.00591625,0.0177488,0.00591625,0.0177488,0.00591625
35,4154.29,0.80253,1.71497,1.30359,0.69332,0.61459,0.67398,0.54302,0.76651,1.20886,1.24053,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
36,4263.41,0.79367,1.69155,1.29768,0.69991,0.64009,0.6895,0.55268,0.77071,1.1775,1.24187,0.0170063,0.00566875,0.0170063,0.00566875,0.0170063,0.00566875,0.0170063,0.00566875
37,4372.2,0.79218,1.66962,1.29085,0.70854,0.64579,0.6996,0.55936,0.76889,1.15627,1.23932,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
38,4480.59,0.78438,1.6323,1.28245,0.72163,0.63601,0.70214,0.56319,0.75899,1.15747,1.22942,0.0162637,0.00542125,0.0162637,0.00542125,0.0162637,0.00542125,0.0162637,0.00542125
39,4587.71,0.78315,1.62655,1.28083,0.71904,0.65367,0.71316,0.56903,0.7615,1.13867,1.22648,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
40,4696.77,0.77293,1.60083,1.27905,0.72182,0.67083,0.72113,0.57629,0.75747,1.1259,1.22749,0.0155212,0.00517375,0.0155212,0.00517375,0.0155212,0.00517375,0.0155212,0.00517375
41,4806.24,0.76292,1.582,1.26988,0.71091,0.66857,0.72345,0.57662,0.74741,1.11556,1.21851,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
42,4909.96,0.7749,1.57306,1.28309,0.73755,0.66037,0.7257,0.581,0.74869,1.10721,1.21809,0.0147788,0.00492625,0.0147788,0.00492625,0.0147788,0.00492625,0.0147788,0.00492625
43,5012.11,0.74624,1.53348,1.26184,0.75062,0.65657,0.73081,0.58881,0.75186,1.09392,1.22473,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
44,5114.27,0.7612,1.53805,1.2694,0.71725,0.67201,0.72868,0.5873,0.73928,1.08534,1.21517,0.0140363,0.00467875,0.0140363,0.00467875,0.0140363,0.00467875,0.0140363,0.00467875
45,5216.57,0.74831,1.50431,1.26297,0.72331,0.68537,0.73574,0.59242,0.73736,1.07603,1.20911,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
46,5318.47,0.74571,1.5201,1.26663,0.74798,0.66433,0.74173,0.59619,0.73923,1.06297,1.21097,0.0132938,0.00443125,0.0132938,0.00443125,0.0132938,0.00443125,0.0132938,0.00443125
47,5420.65,0.74132,1.46582,1.24975,0.74241,0.668,0.74077,0.59716,0.73672,1.05756,1.20709,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075
48,5522.71,0.75352,1.49841,1.26592,0.73573,0.67769,0.7427,0.59948,0.73312,1.0504,1.20444,0.0125512,0.00418375,0.0125512,0.00418375,0.0125512,0.00418375,0.0125512,0.00418375
49,5625.2,0.74383,1.46721,1.25716,0.75744,0.67749,0.74757,0.60433,0.72873,1.04172,1.19888,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
50,5726.96,0.72585,1.44563,1.24536,0.74142,0.6988,0.75236,0.60813,0.7222,1.03113,1.19038,0.0118087,0.00393625,0.0118087,0.00393625,0.0118087,0.00393625,0.0118087,0.00393625
51,5834.95,0.71658,1.41327,1.23718,0.72703,0.71488,0.75448,0.61253,0.72217,1.02826,1.19179,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125
52,5942.88,0.73302,1.39181,1.25093,0.73295,0.70443,0.75398,0.61452,0.72191,1.01991,1.19136,0.0110663,0.00368875,0.0110663,0.00368875,0.0110663,0.00368875,0.0110663,0.00368875
53,6050.85,0.71713,1.39461,1.23828,0.7228,0.71569,0.75623,0.61607,0.72114,1.01549,1.19252,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
54,6159.27,0.71945,1.37821,1.23718,0.72133,0.72037,0.75911,0.62246,0.71552,1.00672,1.18732,0.0103237,0.00344125,0.0103237,0.00344125,0.0103237,0.00344125,0.0103237,0.00344125
55,6267.31,0.70336,1.35015,1.2364,0.73574,0.71495,0.76065,0.62405,0.71075,1.00573,1.18252,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175
56,6375.48,0.71111,1.36566,1.2343,0.75419,0.7104,0.76428,0.62649,0.70749,1.00089,1.17975,0.00958125,0.00319375,0.00958125,0.00319375,0.00958125,0.00319375,0.00958125,0.00319375
57,6483.24,0.70097,1.32523,1.22376,0.76026,0.7089,0.76555,0.62922,0.70603,0.99641,1.17848,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
58,6592.01,0.70756,1.32389,1.23219,0.75045,0.71999,0.76764,0.63138,0.70477,0.99413,1.17822,0.00883875,0.00294625,0.00883875,0.00294625,0.00883875,0.00294625,0.00883875,0.00294625
59,6695.07,0.69715,1.29395,1.22448,0.75083,0.72757,0.76893,0.63181,0.70337,0.99104,1.17704,0.0084675,0.0028225,0.0084675,0.0028225,0.0084675,0.0028225,0.0084675,0.0028225
60,6796.67,0.69004,1.29046,1.22099,0.75669,0.7229,0.76929,0.63308,0.70293,0.98632,1.17571,0.00809625,0.00269875,0.00809625,0.00269875,0.00809625,0.00269875,0.00809625,0.00269875
61,6910.58,0.67653,1.25894,1.21421,0.7643,0.72017,0.77103,0.63483,0.70137,0.9815,1.17391,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
62,7023.67,0.67689,1.26225,1.211,0.76849,0.71335,0.77091,0.63539,0.69964,0.97986,1.17136,0.00735375,0.00245125,0.00735375,0.00245125,0.00735375,0.00245125,0.00735375,0.00245125
63,7137.64,0.68945,1.25985,1.21507,0.75187,0.72535,0.77126,0.63634,0.69922,0.97814,1.17073,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275
64,7251.71,0.65874,1.21257,1.20296,0.75213,0.72461,0.77185,0.6376,0.69735,0.97688,1.16872,0.00661125,0.00220375,0.00661125,0.00220375,0.00661125,0.00220375,0.00661125,0.00220375
65,7365.45,0.67163,1.21392,1.20222,0.74966,0.73047,0.77296,0.63886,0.69706,0.9747,1.16743,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
66,7479.14,0.67381,1.20008,1.20998,0.75088,0.73127,0.77379,0.63907,0.69628,0.97193,1.16661,0.00586875,0.00195625,0.00586875,0.00195625,0.00586875,0.00195625,0.00586875,0.00195625
67,7593.04,0.66078,1.17711,1.19754,0.76568,0.72469,0.77485,0.64072,0.6959,0.96949,1.16572,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325
68,7706.84,0.65919,1.16589,1.20066,0.77555,0.71955,0.77586,0.64131,0.69577,0.96901,1.16488,0.00512625,0.00170875,0.00512625,0.00170875,0.00512625,0.00170875,0.00512625,0.00170875
69,7821.07,0.65479,1.17456,1.19865,0.77867,0.71877,0.77714,0.6424,0.69508,0.96723,1.16409,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
