epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1720.43,1.06802,2.48516,0.02235,0.4468,0.44415,0.41349,0.3198,0.96504,1.84795,0.03,0.00999476,0.00333159,0.00999476,0.00333159,0.00999476,0.00333159,0.00999476,0.00333159
2,3375.73,1.00605,2.3435,0.02079,0.43155,0.44316,0.40837,0.31624,0.91929,1.88323,0.0282,0.0197473,0.00658244,0.0197473,0.00658244,0.0197473,0.00658244,0.0197473,0.00658244
3,5019.79,1.06934,2.46957,0.02276,0.40258,0.39534,0.3575,0.25614,1.14044,2.14345,0.03652,0.0292524,0.0097508,0.0292524,0.0097508,0.0292524,0.0097508,0.0292524,0.0097508
4,6653.71,1.14143,2.63834,0.02403,0.38321,0.40319,0.3415,0.24161,1.10703,2.10322,0.03535,0.0288862,0.00962875,0.0288862,0.00962875,0.0288862,0.00962875,0.0288862,0.00962875
5,8289.15,1.14625,2.59251,0.02386,0.51111,0.39284,0.4016,0.29686,1.05522,1.95103,0.03317,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
6,9922.25,1.1325,2.59426,0.02379,0.40244,0.39883,0.39581,0.27515,1.13522,1.99541,0.03659,0.0281437,0.00938125,0.0281437,0.00938125,0.0281437,0.00938125,0.0281437,0.00938125
7,11552.5,1.12676,2.51283,0.02377,0.44445,0.43114,0.41329,0.3013,1.06029,1.87875,0.03371,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
8,13179.4,1.11482,2.4201,0.02334,0.51064,0.44409,0.44533,0.33438,1.01086,1.8114,0.03152,0.0274012,0.00913375,0.0274012,0.00913375,0.0274012,0.00913375,0.0274012,0.00913375
9,14804.3,1.09922,2.42262,0.02319,0.42389,0.46072,0.44263,0.33229,0.99961,1.83477,0.03103,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
10,16427.7,1.09975,2.35328,0.02305,0.48224,0.49712,0.48873,0.35893,1.00563,1.78649,0.03204,0.0266587,0.00888625,0.0266587,0.00888625,0.0266587,0.00888625,0.0266587,0.00888625
11,18054.4,1.08524,2.37878,0.02277,0.46197,0.49989,0.47036,0.34832,1.001,1.77077,0.03093,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
12,19679.3,1.09892,2.35059,0.02284,0.43983,0.49583,0.47735,0.35446,0.99162,1.76457,0.03128,0.0259163,0.00863875,0.0259163,0.00863875,0.0259163,0.00863875,0.0259163,0.00863875
13,21305.4,1.06058,2.31253,0.02248,0.48536,0.50304,0.50814,0.37633,0.99883,1.64357,0.03153,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
14,22931.8,1.08048,2.29553,0.02256,0.54876,0.5304,0.53415,0.40921,0.9293,1.61668,0.02854,0.0251737,0.00839125,0.0251737,0.00839125,0.0251737,0.00839125,0.0251737,0.00839125
15,24558.9,1.04167,2.24612,0.02165,0.55243,0.53217,0.55166,0.42132,0.91351,1.53236,0.02784,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
16,26759.8,1.055,2.24251,0.02189,0.49447,0.5404,0.53358,0.41258,0.90737,1.53818,0.02776,0.0244312,0.00814375,0.0244312,0.00814375,0.0244312,0.00814375,0.0244312,0.00814375
17,29342.3,1.05788,2.20197,0.02214,0.58865,0.54813,0.58303,0.45304,0.8786,1.47804,0.02691,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
18,32122.2,1.04875,2.17936,0.02158,0.54576,0.52429,0.54571,0.42722,0.88652,1.53125,0.02725,0.0236888,0.00789625,0.0236888,0.00789625,0.0236888,0.00789625,0.0236888,0.00789625
19,34515.1,1.02991,2.16813,0.02116,0.58355,0.55706,0.57036,0.44825,0.87702,1.48139,0.02679,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
20,36834.5,1.0148,2.12779,0.02085,0.60957,0.58541,0.6119,0.4903,0.85265,1.38701,0.02564,0.0229462,0.00764875,0.0229462,0.00764875,0.0229462,0.00764875,0.0229462,0.00764875
