epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.816951,0.96332,2.29145,0.01334,0.89665,0.65566,0.90384,0.66686,1.58082,0.9661,0.01154,0,0,0
2,1.5812,1.16864,2.44315,0.01394,0.89648,0.65805,0.90211,0.66656,1.57936,0.96655,0.01151,1.17822e-06,1.17822e-06,1.17822e-06
3,2.28934,0.98387,2.76436,0.02108,0.87835,0.66743,0.90205,0.66443,1.57681,0.96901,0.01147,2.33288e-06,2.33288e-06,2.33288e-06
4,3.01781,1.41442,2.22867,0.02985,0.87545,0.67608,0.90564,0.66574,1.57714,0.96822,0.01144,3.46397e-06,3.46397e-06,3.46397e-06
