epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
25,34.4268,1.00044,2.5469,0.01503,0.95414,0.62896,0.88746,0.68248,1.51173,1.14361,0.01026,2.17741e-05,2.17741e-05,2.17741e-05
26,35.751,1.0536,2.05528,0.01691,0.95414,0.62896,0.88746,0.68248,1.51173,1.14361,0.01026,2.23869e-05,2.23869e-05,2.23869e-05
27,37.0782,1.20116,1.87115,0.01355,0.91402,0.64178,0.88744,0.70004,1.51236,1.15893,0.01028,2.2976e-05,2.2976e-05,2.2976e-05
28,38.3675,1.09896,1.98604,0.01565,0.91402,0.64178,0.88744,0.70004,1.51236,1.15893,0.01028,2.35417e-05,2.35417e-05,2.35417e-05
29,39.6802,1.5737,1.926,0.01647,0.89362,0.65453,0.87307,0.69371,1.51143,1.21995,0.01021,2.40837e-05,2.40837e-05,2.40837e-05
30,40.9147,0.91087,1.88075,0.01145,0.89362,0.65453,0.87307,0.69371,1.51143,1.21995,0.01021,2.46022e-05,2.46022e-05,2.46022e-05
31,42.229,0.9809,1.85288,0.01178,0.7422,0.67373,0.83534,0.68196,1.51446,1.25017,0.01014,2.50971e-05,2.50971e-05,2.50971e-05
32,43.6125,1.08017,2.04721,0.01046,0.7422,0.67373,0.83534,0.68196,1.51446,1.25017,0.01014,2.55685e-05,2.55685e-05,2.55685e-05
33,45.0347,1.14473,2.18702,0.01634,0.73753,0.67793,0.83643,0.6834,1.53376,1.21648,0.01029,2.60163e-05,2.60163e-05,2.60163e-05
34,46.8783,0.97225,1.35708,0.02018,0.73753,0.67793,0.83643,0.6834,1.53376,1.21648,0.01029,2.64405e-05,2.64405e-05,2.64405e-05
35,48.3513,1.08923,1.82697,0.01186,0.70627,0.67559,0.83286,0.67244,1.55201,1.25248,0.01044,2.68412e-05,2.68412e-05,2.68412e-05
36,49.8116,0.9849,1.59742,0.0126,0.70627,0.67559,0.83286,0.67244,1.55201,1.25248,0.01044,2.72183e-05,2.72183e-05,2.72183e-05
37,51.1838,1.03445,2.36575,0.02221,0.70138,0.67648,0.80864,0.6604,1.56502,1.27474,0.01047,2.75718e-05,2.75718e-05,2.75718e-05
38,52.4941,1.25367,1.78662,0.0156,0.70138,0.67648,0.80864,0.6604,1.56502,1.27474,0.01047,2.79018e-05,2.79018e-05,2.79018e-05
